,Facility,Project,ModDate
535,19120020,191200-20,2020-11-18 06:37:35.600
536,19120020,191200-20,2020-11-19 12:24:54.017
537,19120021,191200-21,2020-11-18 06:37:35.687
538,19120021,191200-21,2020-11-19 12:24:55.080
539,19120023,191200-23,2020-11-18 06:37:35.770
540,19120023,191200-23,2020-11-19 12:24:56.133
541,19120024,191200-24,2020-11-18 06:37:35.790
542,19120024,191200-24,2020-11-19 12:24:57.207
543,19120025,191200-25,2020-11-18 06:37:35.897
544,19120025,191200-25,2020-11-19 12:24:58.263
545,19120026,191200-26,2020-11-18 06:37:35.797
546,19120026,191200-26,2020-11-19 12:24:59.320
547,19120027,191200-27,2020-11-18 06:37:35.907
548,19120027,191200-27,2020-11-19 12:25:00.393
549,19120028,191200-28,2020-11-18 06:37:35.930
550,19120028,191200-28,2020-11-19 12:25:01.450
551,19120029,191200-29,2020-11-18 06:37:35.953
552,19120029,191200-29,2020-11-19 12:25:02.513
553,19120030,191200-30,2020-11-18 06:37:36.050
554,19120030,191200-30,2020-11-19 12:25:03.580
555,19120031,191200-31,2020-11-18 06:37:36.090
556,19120031,191200-31,2020-11-19 12:25:04.643
557,19120032,191200-32,2020-11-18 06:37:36.057
558,19120032,191200-32,2020-11-19 12:25:05.710
559,19120033,191200-33,2020-11-18 06:37:36.133
560,19120033,191200-33,2020-11-19 12:25:06.787
561,19120034,191200-34,2020-09-10 15:30:26.493
562,19120034,191200-34,2020-09-10 15:30:35.167
563,19120035,191200-35,2020-11-18 06:37:36.210
564,19120035,191200-35,2020-11-19 12:28:31.227
565,19120036,191200-36,2020-11-18 06:37:36.257
566,19120036,191200-36,2020-11-19 12:28:32.293
567,19120037,191200-37,2020-11-18 06:37:36.213
568,19120037,191200-37,2020-11-19 12:28:33.373
569,19120038,191200-38,2020-11-18 06:37:36.337
570,19120038,191200-38,2020-11-19 12:28:34.440
571,19120039,191200-39,2020-11-18 06:37:36.347
572,19120039,191200-39,2020-11-19 12:28:35.503
573,19120040,191200-40,2020-11-18 06:37:36.357
574,19120040,191200-40,2020-11-19 12:28:36.567
575,19120041,191200-41,2020-11-18 06:37:36.420
576,19120041,191200-41,2020-11-19 12:28:37.633
577,19120042,191200-42,2020-11-18 06:37:36.530
578,19120042,191200-42,2020-11-19 12:28:38.687
579,19120043,191200-43,2020-11-18 06:37:36.543
580,19120043,191200-43,2020-11-19 12:28:39.760
581,19120044,191200-44,2020-11-18 06:37:36.547
582,19120044,191200-44,2020-11-19 12:28:40.833
583,19120045,191200-45,2020-11-18 06:37:36.627
584,19120045,191200-45,2020-11-19 12:28:41.893
585,19120046,191200-46,2020-11-18 06:37:36.663
586,19120046,191200-46,2020-11-19 12:28:42.957
587,19120047,191200-47,2020-11-18 06:37:36.633
588,19120047,191200-47,2020-11-19 12:28:44.020
589,19120048,191200-48,2020-11-18 06:37:36.683
590,19120048,191200-48,2020-11-19 12:28:45.080
591,19120049,191200-49,2020-11-18 06:37:36.757
592,19120049,191200-49,2020-11-19 12:28:46.150
593,19120050,191200-50,2020-11-18 06:37:36.793
594,19120050,191200-50,2020-11-19 12:28:47.207
595,19120051,191200-51,2020-11-18 06:37:36.813
596,19120051,191200-51,2020-11-19 12:28:48.270
597,19120052,191200-52,2020-11-18 06:37:36.813
598,19120052,191200-52,2020-11-19 12:28:49.337
599,19120053,191200-53,2020-11-18 06:37:36.933
600,19120053,191200-53,2020-11-19 12:28:50.397
601,19120054,191200-54,2020-11-18 06:37:37.000
602,19120054,191200-54,2020-11-19 12:28:51.477
603,19120055,191200-55,2020-11-18 06:37:37.043
604,19120055,191200-55,2020-11-19 12:28:52.537
605,19120056,191200-56,2020-11-18 06:37:37.013
606,19120056,191200-56,2020-11-19 12:28:53.603
607,19120057,191200-57,2020-11-18 06:37:37.110
608,19120057,191200-57,2020-11-19 12:28:54.663
609,19120058,191200-58,2020-11-18 06:37:37.177
610,19120058,191200-58,2020-11-19 12:28:55.730
611,19120059,191200-59,2020-11-18 06:37:37.170
612,19120059,191200-59,2020-11-19 12:28:56.807
613,19120100,191201-00,2020-11-18 06:37:37.233
614,19120100,191201-00,2020-11-19 12:44:24.123
615,19120200,191202-00,2020-11-18 06:37:37.263
616,19120200,191202-00,2020-11-19 12:44:25.180
617,19120300,191203-00,2020-11-18 06:37:37.357
618,19120300,191203-00,2020-11-19 12:44:59.973
619,19132703,191327-03,2020-07-15 08:16:49.560
620,19132703,191327-03,2020-07-15 08:16:49.560
621,20000100,200001-00,2003-06-30 11:33:30.000
622,20000100,200001-00,2020-12-15 15:46:05.883
623,20000100,200001-00,2020-12-17 07:55:43.000
624,20000100,200001-00,2020-12-18 05:29:35.240
625,20000100,200001-00,2020-12-19 17:35:53.363
626,20000100,200001-00,2020-12-23 14:23:16.103
627,20000100,200001-00,2021-01-05 05:32:12.070
628,20000100,200001-00,2021-01-06 16:00:00.000
629,20000100,200001-00,2021-01-07 10:30:33.363
630,20000100,200001-00,2021-01-07 14:01:51.037
631,20000100,200001-00,2021-01-11 09:41:50.903
632,20000100,200001-00,2021-01-11 12:53:09.743
633,20000100,200001-00,2021-01-13 09:19:58.740
634,20000100,200001-00,2021-01-14 08:57:22.973
635,20000100,200001-00,2021-01-14 17:24:32.857
636,20000100,200001-00,2021-01-16 12:40:22.690
637,20000100,200001-00,2021-01-17 10:29:45.900
638,20000100,200001-00,2021-01-18 08:34:48.890
639,20000100,200001-00,2021-01-18 16:28:33.327
640,20000100,200001-00,2021-01-20 11:30:46.330
641,20000100,200001-00,2021-01-21 12:06:01.960
642,20000100,200001-00,2021-01-22 10:48:20.467
643,20000700,Louise Arc Flash,2020-03-30 08:13:52.710
644,20000700,Louise Arc Flash,2020-11-19 12:39:09.270
645,20000700,Louise Site Photos,2020-04-07 09:24:17.000
646,20000700,Louise Site Photos,2020-11-19 12:39:10.340
647,20000800,200008-00,2019-03-12 08:13:09.000
648,20000800,200008-00,2020-12-15 16:08:59.047
649,20000800,200008-00,2020-12-16 08:17:56.483
650,20000800,200008-00,2020-12-30 16:23:02.950
651,20000800,200008-00,2021-01-04 11:05:21.620
652,20000800,200008-00,2021-01-05 09:36:14.590
653,20000800,200008-00,2021-01-07 11:21:35.730
654,20000800,200008-00,2021-01-07 17:01:07.297
655,20000800,200008-00,2021-01-11 10:19:07.093
656,20000900,20000900,2020-03-30 08:13:52.710
657,20000900,20000900,2020-08-20 10:55:18.780
658,20000900,200009-00,2020-07-22 11:55:13.190
659,20000900,200009-00,2020-08-13 16:19:13.927
660,20000900,20000901,2019-12-10 10:48:51.000
661,20000900,20000901,2020-10-15 13:46:19.570
662,20000900,200009-01,2020-08-24 14:27:24.350
663,20000900,200009-01,2020-10-08 10:51:52.717
664,20000900,200016-00 - Storey-Camino Real,2020-08-10 11:12:25.577
665,20000900,200016-00 - Storey-Camino Real,2020-10-29 11:30:45.587
666,20000900,Jason's USB Files,2020-06-10 11:59:00.000
667,20000900,Jason's USB Files,2020-07-30 14:29:05.400
668,20000900,Utility Information,2020-08-13 12:18:45.550
669,20000900,Utility Information,2020-08-18 12:22:39.710
670,20001000,200010-00,2020-09-08 15:58:20.020
671,20001000,200010-00,2020-09-08 15:58:20.020
672,20001100,200011-00,2020-07-03 07:40:00.497
673,20001100,200011-00,2020-11-18 13:03:50.047
674,20001200,200012-00,2013-05-23 10:56:12.000
675,20001200,200012-00,2020-09-14 12:38:44.803
676,20001300,200013-00,2013-10-02 07:18:36.000
677,20001300,200013-00,2020-12-15 16:06:30.053
678,20001300,200013-00,2020-12-17 07:53:01.710
679,20001300,200013-00,2020-12-17 15:35:16.493
680,20001300,200013-00,2020-12-19 15:13:02.003
681,20001300,200013-00,2020-12-23 16:13:22.440
682,20001300,200013-00,2021-01-04 12:08:29.433
683,20001300,200013-00,2021-01-05 10:01:45.060
684,20001300,200013-00,2021-01-08 10:31:43.513
685,20001300,200013-00,2021-01-11 12:39:46.097
686,20001300,200013-00,2021-01-12 12:33:10.197
687,20001300,200013-00,2021-01-13 12:43:21.860
688,20001300,200013-00,2021-01-14 12:42:31.250
689,20001300,200013-00,2021-01-15 12:33:19.673
690,20001300,200013-00,2021-01-15 14:54:58.027
691,20001300,200013-00,2021-01-18 12:34:57.033
692,20001300,200013-00,2021-01-19 12:12:44.690
693,20001300,200013-00,2021-01-20 08:45:39.797
694,20001300,200013-00,2021-01-20 14:11:43.900
695,20001300,200013-00,2021-01-22 08:05:34.337
696,20001400,_Go-Bys,2015-10-25 12:19:36.000
697,20001400,_Go-Bys,2020-07-30 10:44:36.320
698,20001400,_Stanards,2019-07-31 13:53:04.000
699,20001400,_Stanards,2020-01-16 14:01:46.000
700,20001400,20001401 - Dewitt,2020-07-23 07:25:25.740
701,20001400,20001401 - Dewitt,2020-07-23 07:26:50.873
702,20001400,20001402 - Blackhawk,2020-08-06 08:32:41.787
703,20001400,20001402 - Blackhawk,2020-08-10 09:59:35.377
704,20001400,20001404 - Marshall,2020-08-06 08:26:36.997
705,20001400,20001404 - Marshall,2020-08-06 12:57:39.767
706,20001400,20001405 - Dewitt to Edna MLBV,2020-07-02 15:29:08.797
707,20001400,20001405 - Dewitt to Edna MLBV,2020-08-06 15:30:14.033
708,20001400,20001406 - Smiley to Dewitt MLBV,2020-08-05 09:15:54.157
709,20001400,20001406 - Smiley to Dewitt MLBV,2020-08-10 09:59:01.930
710,20001400,20001409 - Edna,2020-03-30 08:13:52.710
711,20001400,20001409 - Edna,2020-08-10 09:00:48.340
712,20001400,20001410 - Edna to Mo City 30inch MLBV,2020-08-05 07:13:26.000
713,20001400,20001410 - Edna to Mo City 30inch MLBV,2020-08-10 16:03:39.813
714,20001600,200016-00,2020-09-24 07:56:37.000
715,20001600,200016-00,2020-12-09 16:28:54.347
716,20001700,200017-00,2020-10-05 21:46:00.000
717,20001700,200017-00,2020-12-03 15:50:23.987
718,20001700,200017-00,2021-01-05 10:07:58.577
719,20001700,200017-00,2021-01-06 10:03:28.973
720,20001700,200017-00,2021-01-07 08:00:23.607
721,20001700,200017-00,2021-01-17 12:37:38.000
722,20001700,200017-00,2021-01-18 12:19:44.497
723,20001801,200018-01,2020-04-08 07:40:17.637
724,20001801,200018-01,2020-12-15 16:09:18.960
725,20001801,200018-01,2020-12-17 06:59:13.800
726,20001801,200018-01,2020-12-17 17:25:38.693
727,20001801,200018-01,2020-12-24 09:37:29.790
728,20001801,200018-01,2021-01-05 12:15:51.000
729,20001801,200018-01,2021-01-06 12:40:47.000
730,20001801,200018-01,2021-01-07 12:36:31.000
731,20001801,200018-01,2021-01-08 10:47:32.000
732,20001801,200018-01,2021-01-09 09:00:44.750
733,20001801,200018-01,2021-01-12 12:17:55.987
734,20001801,200018-01,2021-01-13 12:28:51.000
735,20001801,200018-01,2021-01-14 10:58:09.000
736,20001801,200018-01,2021-01-15 10:44:12.000
737,20001801,200018-01,2021-01-16 11:37:15.930
738,20001801,200018-01,2021-01-16 23:38:42.313
739,20001801,200018-01,2021-01-18 12:39:54.000
740,20001801,200018-01,2021-01-19 12:20:52.193
741,20001801,200018-01,2021-01-20 12:25:57.000
742,20001801,200018-01,2021-01-21 10:09:43.247
743,20001801,200018-01,2021-01-22 11:10:25.047
744,20001901,200019-01,2020-10-13 14:05:43.643
745,20001901,200019-01,2020-12-15 10:45:42.623
746,20001901,200019-01,2020-12-16 11:47:58.317
747,20001901,200019-01,2020-12-17 13:00:29.530
748,20001901,200019-01,2020-12-18 11:41:38.017
749,20001901,200019-01,2020-12-30 15:27:19.657
750,20001901,200019-01,2021-01-04 12:43:23.280
751,20001901,200019-01,2021-01-05 12:42:07.917
752,20001901,200019-01,2021-01-06 11:53:16.633
753,20001901,200019-01,2021-01-07 11:32:22.337
754,20001901,200019-01,2021-01-08 12:40:14.490
755,20001901,200019-01,2021-01-08 13:04:55.430
756,20001901,200019-01,2021-01-11 10:01:56.003
757,20001901,200019-01,2021-01-19 12:35:42.000
758,20001901,200019-01,2021-01-20 12:26:26.903
759,20001901,200019-01,2021-01-21 12:36:08.063
760,20001901,200019-01,2021-01-22 12:41:48.617
761,20002001,200020-01,2017-02-07 12:34:28.000
762,20002001,200020-01,2020-12-15 16:09:10.790
763,20002001,200020-01,2020-12-16 14:49:43.270
764,20002001,200020-01,2020-12-17 19:36:54.707
765,20002001,200020-01,2020-12-23 14:38:59.100
766,20002001,200020-01,2021-01-18 11:53:50.873
767,20002300,KMCC Arc Flash,2020-06-01 09:57:25.000
768,20002300,KMCC Arc Flash,2020-06-01 18:09:19.000
769,20112004,201120-04,2020-11-18 06:37:39.323
770,20112004,201120-04,2020-11-19 12:45:12.900
771,20112006,201120-06,2020-11-18 06:37:39.457
772,20112006,201120-06,2020-11-19 12:46:03.253
773,20112011,201120-11,2016-08-05 11:23:08.000
774,20112011,201120-11,2020-06-24 07:58:52.640
775,20112011,201120-11,2021-01-07 08:25:52.730
776,20112012,201120-12,2019-10-01 12:35:15.000
777,20112012,201120-12,2020-06-24 08:25:52.173
778,20112012,201120-12,2021-01-07 09:50:26.000
779,20112012,201120-12,2021-01-08 10:15:41.000
780,20112013,201120-13,2020-04-13 15:17:58.180
781,20112013,201120-13,2020-06-24 09:29:26.803
782,20112013,201120-13,2021-01-08 09:27:59.000
783,20113002,201130-02,2020-11-18 06:37:39.570
784,20113002,201130-02,2020-11-19 12:46:05.867
785,20113019,201130-19,2020-11-18 06:37:39.710
786,20113019,201130-19,2020-11-19 12:46:11.383
787,20113039,201130-39,2020-11-18 06:37:39.580
788,20113039,201130-39,2020-11-19 12:46:13.323
789,20990100,209901-00,2017-07-27 12:48:14.000
790,20990100,209901-00,2020-12-15 11:38:02.093
791,20990100,209901-00,2020-12-16 13:32:18.267
792,20990100,209901-00,2020-12-17 12:24:37.713
793,20990100,209901-00,2020-12-21 16:18:49.500
794,20990200,209902-00,2017-03-27 12:46:18.000
795,20990200,209902-00,2020-12-04 15:48:50.480
796,20990300,209903-00,1999-03-09 16:15:08.000
797,20990300,209903-00,2020-09-14 14:41:55.123
798,20990400,209904-00,2007-04-15 15:25:18.000
799,20990400,209904-00,2020-11-10 10:18:52.497
800,20990500,209905-00,2007-12-06 13:30:34.000
801,20990500,209905-00,2020-12-10 09:43:54.000
802,20990500,209905-00,2020-12-18 08:04:12.303
803,20990500,209905-00,2021-01-04 10:49:40.183
804,20990500,209905-00,2021-01-05 08:12:45.823
805,20990500,209905-00,2021-01-06 11:34:19.803
806,20990500,209905-00,2021-01-07 10:32:06.257
807,20990500,209905-00,2021-01-11 11:42:47.797
808,20990500,209905-00,2021-01-12 08:54:57.537
809,20990500,209905-00,2021-01-13 10:11:17.370
810,20990500,209905-00,2021-01-14 12:22:54.830
811,20990500,209905-00,2021-01-15 09:42:30.090
812,20990500,209905-00,2021-01-18 11:36:14.143
813,20990500,209905-00,2021-01-19 10:33:05.920
814,20990500,209905-00,2021-01-20 10:50:20.030
815,20990500,209905-00,2021-01-20 15:58:22.883
816,20990500,209905-00,2021-01-21 13:29:17.747
817,20990700,209907-00,2020-11-18 06:37:39.873
818,20990700,209907-00,2020-12-08 08:59:59.100
819,902019,01 Process,2016-11-10 05:48:30.000
820,902019,01 Process,2020-08-12 12:08:32.000
821,902019,03 Piping,2020-04-15 13:23:22.317
822,902019,03 Piping,2020-04-16 09:47:10.320
823,902019,05 Structural,2019-10-01 08:04:31.833
824,902019,05 Structural,2020-04-28 17:46:29.470
825,902019,06 Instrumentation,2019-10-01 09:27:25.053
826,902019,06 Instrumentation,2020-04-28 17:46:29.600
827,902019,20 3D Model,2019-02-10 16:21:23.000
828,902019,20 3D Model,2020-08-12 14:19:46.637
829,902019,Coord,2020-02-12 10:33:25.387
830,902019,Coord,2020-07-27 09:30:39.900
831,902019,Templates,2019-10-01 06:35:54.000
832,902019,Templates,2020-02-12 10:34:01.867
833,902020,20 3D Model,2019-03-12 08:13:09.000
834,902020,20 3D Model,2020-09-17 10:15:05.240
835,902020,Templates,2020-02-12 08:09:46.000
836,902020,Templates,2020-06-17 18:42:01.283
