,Facility,Project,ModDate
122,18113029,181131-29,2020-08-11 13:05:11.757
123,18113029,181132-29,2020-11-18 06:37:31.187
124,18113029,181132-29,2020-11-18 12:39:19.333
125,18113029,181133-29,2020-07-15 08:16:37.870
126,18113029,181133-29,2020-07-15 08:16:37.870
127,18113030,181130-30,2020-11-18 06:37:31.250
128,18113030,181130-30,2020-11-19 07:51:03.127
129,18113030,181131-30,2017-10-23 13:15:18.000
130,18113030,181131-30,2020-09-23 08:47:53.650
131,18113030,181132-30,2019-09-24 14:56:28.383
132,18113030,181132-30,2020-09-02 16:45:33.840
133,18113030,201130-30,2020-02-12 08:09:46.000
134,18113030,201130-30,2020-12-10 14:27:07.000
135,18113030,201130-30,2020-12-15 16:24:00.000
136,18113030,201130-30,2020-12-17 10:20:23.710
137,18113030,201130-30,2021-01-04 15:34:03.873
138,18113030,201130-30,2021-01-08 12:18:06.763
139,18113030,201130-30,2021-01-08 12:47:48.947
140,18113030,201130-30,2021-01-11 08:27:32.737
141,18113030,201130-30,2021-01-12 10:47:28.497
142,18113030,201130-30,2021-01-12 14:46:38.863
143,18113030,201130-30,2021-01-14 11:03:20.993
144,18113030,201130-30,2021-01-14 13:02:40.170
145,18113030,201130-30,2021-01-15 13:26:00.420
146,18113030,201130-30,2021-01-18 10:36:15.343
147,18113030,201130-30,2021-01-19 12:10:33.090
148,18113030,201130-30,2021-01-20 08:05:37.777
149,18113121,181131-21,2016-12-12 11:57:08.000
150,18113121,181131-21,2020-06-15 10:26:38.000
151,18113126,181131-26,2020-11-18 06:37:31.383
152,18113126,181131-26,2020-11-19 07:52:03.690
153,18114004,181140-04,2020-11-18 06:37:31.533
154,18114004,181140-04,2020-11-19 07:52:15.697
155,18114012,181140-12,2020-11-18 06:37:31.573
156,18114012,181140-12,2020-11-19 07:53:01.010
157,18114015,181140-15,2020-11-18 06:37:31.580
158,18114015,181140-15,2020-11-19 07:53:39.903
159,18114102,181141-02,2020-11-18 06:37:31.593
160,18114102,181141-02,2020-11-19 07:53:55.840
161,18114106,181141-06,2009-06-08 13:00:50.000
162,18114106,181141-06,2020-05-19 12:50:45.733
163,18114110,181141-10,2020-11-18 06:37:31.707
164,18114110,181141-10,2020-11-19 07:54:19.823
165,18114115,181141-15,2020-11-18 06:37:31.880
166,18114115,181141-15,2020-11-19 07:55:12.843
167,18114117,181141-17,2020-11-18 06:37:31.887
168,18114117,181141-17,2020-11-19 07:55:13.903
169,18114205,181142-05,2020-11-18 06:37:31.763
170,18114205,181142-05,2020-11-19 07:55:36.033
171,18114208,181142-08,2020-11-18 06:37:31.890
172,18114208,181142-08,2020-11-19 07:55:37.100
173,18114211,181142-11,2020-11-18 06:37:32.023
174,18114211,181142-11,2020-11-19 07:55:58.013
175,18114213,181142-13,2012-10-31 11:34:00.000
176,18114213,181142-13,2020-05-20 07:07:33.000
177,18114219,181142-19,2020-11-18 06:37:32.060
178,18114219,181142-19,2020-11-19 07:56:42.770
179,18114220,181142-20,2020-11-18 06:37:32.063
180,18114220,181142-20,2020-11-19 07:57:04.773
181,18115002,181150-02,2020-06-07 21:34:52.363
182,18115002,181150-02,2020-06-07 21:34:52.363
183,18115002,181151-02,2020-11-18 06:37:32.130
184,18115002,181151-02,2020-11-19 11:42:23.560
185,18115004,181150-04,2018-11-29 13:33:58.000
186,18115004,181150-04,2020-06-16 17:13:41.000
187,18115004,181151-04,2020-01-02 13:18:06.000
188,18115004,181151-04,2020-06-16 15:57:52.000
189,18115009,181150-09,2020-07-15 08:16:39.437
190,18115009,181150-09,2020-07-15 08:16:39.437
191,18115009,181151-09,2020-11-18 06:37:32.217
192,18115009,181151-09,2020-11-19 11:42:54.600
193,18115013,181151-13,2019-06-05 10:36:04.073
194,18115013,181151-13,2020-07-08 13:27:24.000
195,18115015,181150-15,2020-11-18 06:37:32.367
196,18115015,181150-15,2020-11-19 11:43:05.240
197,18115101,181151-01,2019-10-01 12:34:44.000
198,18115101,181151-01,2020-07-23 16:31:10.043
199,18115105,181151-05,2018-11-19 22:35:43.000
200,18115105,181151-05,2020-07-09 08:02:08.117
201,18115107,181151-07,2019-08-27 13:39:27.847
202,18115107,181151-07,2020-06-19 11:17:56.100
203,18115107,181152-07,2020-04-28 16:49:31.263
204,18115107,181152-07,2020-04-28 16:49:31.263
205,18115107,201150-07,2016-10-14 09:19:30.730
206,18115107,201150-07,2020-08-05 09:45:58.417
207,18115110,181151-10,2019-09-18 10:13:32.000
208,18115110,181151-10,2020-06-09 05:57:54.000
209,18115112,181151-12,2019-09-30 08:34:51.000
210,18115112,181151-12,2020-07-17 14:30:15.453
211,18116003,181160-03,2020-07-15 08:16:46.637
212,18116003,181160-03,2020-07-15 08:16:46.637
